usageID	sense	context	indices_target_token	indices_target_sentence	lemma
PROCESSED_ccoha1.json-100-16:16	['exceed..0-1']	On the 3d of January I felt a little anxious about our friends , who had already exceeded their leave of absence .	81:89	0:114	exceed
PROCESSED_ccoha1.json-1009-6:6	['listen..0-0', 'listen..0-1']	do you think the baron would listen to you ?	29:35	0:44	listen
PROCESSED_ccoha1.json-1012-45:45	['faithful..0-0', 'faithful..0-2']	The stream , winding through the glen , with its deep and rippleless waters of glassy clearness , reflected the ascending steeps on either side , and the small space of the clear blue sky which these heights , viewed from the vale below , permitted to be seen , with so faithful an outline , and such a delicate mass of hues and tints , lights and shades , that it seemed as though the landscape beneath the waters was an ideal and spiritual copy of the real and	270:278	0:462	faithful
PROCESSED_ccoha1.json-1012-56:56	['tint..0-0']	The stream , winding through the glen , with its deep and rippleless waters of glassy clearness , reflected the ascending steeps on either side , and the small space of the clear blue sky which these heights , viewed from the vale below , permitted to be seen , with so faithful an outline , and such a delicate mass of hues and tints , lights and shades , that it seemed as though the landscape beneath the waters was an ideal and spiritual copy of the real and	329:334	0:462	tint
PROCESSED_ccoha1.json-1015-12:12	['joyous..0-0']	No longer shall their swift feet join us as companions in the joyous chase .	62:68	0:76	joyous
PROCESSED_ccoha1.json-1015-13:13	['chase..0-3']	No longer shall their swift feet join us as companions in the joyous chase .	69:74	0:76	chase
PROCESSED_ccoha1.json-1015-9:9	['companion..0-1']	No longer shall their swift feet join us as companions in the joyous chase .	44:54	0:76	companion
PROCESSED_ccoha1.json-1024-16:16	['prayer..0-0']	High o'er the rout , on pulpit stairs , Footnote : 1Kb Mid den of thieves in house of prayers , ( That house , which loth a rule to break Serv 'd heaven , but one day in the week , Open the rest for all supplies Of news , and politics , and lies ; ) Stood forth the Constable ; and bore His staff , like Merc'ry 's wand of yore , Waved potent round , the peace to keep , As that laid dead men 's souls to sleep	86:93	0:410	prayer
PROCESSED_ccoha1.json-1034-8:8	['imagination..0-0', 'imagination..0-1']	-- Little or no judgment -- no decided talent -- unbounded imagination -- exquisite sentiment -- no taste at all , as the world goes -- but the most natural taste in poetry -- little or no industry .	59:70	0:199	imagination
PROCESSED_ccoha1.json-1043-3:3	['rage..0-0', 'rage..0-4']	When the storm raged , he almost trembled lest he might be wrecked ; but , when it was over , he fancied the noble ship , having weathered the storm , stemming safely the high waves , and careering gracefully on her course .	15:20	0:224	rage
PROCESSED_ccoha1.json-1045-31:31	['pretty..0-1']	-- Well , ' says I , Gineral , little things sometimes give us a kink and a notion of bigger ones ; and now , ' says I , do you know , Gineral , we are in a scrape now , pretty much like that one we jest got out on . '	170:176	0:218	pretty
