instanceID	label	comment	annotator
accident..0-0-PROCESSED_ccoha1.json-112-16:16	1		Jugal7
accident..0-0-PROCESSED_ccoha1.json-574-24:24	1		Jugal7
accident..0-1-PROCESSED_ccoha1.json-574-24:24	1		Jugal7
accurate..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1329-10:10	0		Jugal7
accident..0-0-PROCESSED_ccoha1.json-220-45:45	1		Jugal7
administration..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1147-7:7	0		Jugal7
administration..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1245-2:2	0		Jugal7
abandonment..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1274-0:0	1		Jugal7
accident..0-1-PROCESSED_ccoha1.json-112-16:16	1		Jugal7
administration..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1377-20:20	1		Jugal7
abandonment..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1274-0:0	1		Jugal7
accident..0-1-PROCESSED_ccoha1.json-220-45:45	0		Jugal7
accurate..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1329-10:10	1		Jugal7
administration..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1881-2:2	0		Jugal7
administration..0-0-PROCESSED_eng_news_2020_1M-sentences.json-1882-2:2	0		Jugal7
administration..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1147-7:7	0		Jugal7
administration..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1245-2:2	0		Jugal7
administration..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1377-20:20	0		Jugal7
administration..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1881-2:2	0		Jugal7
administration..0-1-PROCESSED_eng_news_2020_1M-sentences.json-1882-2:2	0		Jugal7
administration..0-2-PROCESSED_eng_news_2020_1M-sentences.json-1147-7:7	1		Jugal7
administration..0-2-PROCESSED_eng_news_2020_1M-sentences.json-1245-2:2	1		Jugal7
administration..0-2-PROCESSED_eng_news_2020_1M-sentences.json-1377-20:20	1		Jugal7
administration..0-2-PROCESSED_eng_news_2020_1M-sentences.json-1881-2:2	1		Jugal7
administration..0-2-PROCESSED_eng_news_2020_1M-sentences.json-1882-2:2	1		Jugal7
administration..0-3-PROCESSED_eng_news_2020_1M-sentences.json-1147-7:7	1		Jugal7
administration..0-3-PROCESSED_eng_news_2020_1M-sentences.json-1245-2:2	1		Jugal7
administration..0-3-PROCESSED_eng_news_2020_1M-sentences.json-1377-20:20	1		Jugal7
administration..0-3-PROCESSED_eng_news_2020_1M-sentences.json-1881-2:2	1		Jugal7
administration..0-3-PROCESSED_eng_news_2020_1M-sentences.json-1882-2:2	1		Jugal7
appreciate..0-0-PROCESSED_ccoha1.json-259-11:11	0		Jugal7
appreciate..0-1-PROCESSED_ccoha1.json-259-11:11	0		Jugal7
appreciate..0-2-PROCESSED_ccoha1.json-259-11:11	0		Jugal7
appreciate..0-3-PROCESSED_ccoha1.json-259-11:11	1		Jugal7
approve..0-0-PROCESSED_ccoha1.json-1133-13:13	1		Jugal7
approve..0-1-PROCESSED_ccoha1.json-1133-13:13	1		Jugal7
ascertain..0-0-PROCESSED_ccoha1.json-1197-12:12	0		Jugal7
ascertain..0-0-PROCESSED_ccoha1.json-630-5:5	1		Jugal7
ascertain..0-0-PROCESSED_ccoha1.json-638-9:9	1		Jugal7
assumption..0-0-PROCESSED_ccoha1.json-668-3:3	1		Jugal7
assumption..0-1-PROCESSED_ccoha1.json-668-3:3	1		Jugal7
