instanceID	label	comment	annotator
akter-combined_sample_kubhist2a-360-72:77-akter..0-1	0		Benjamin
AC-combined_sample_leipzig_swe_news-172-120:122-AC..0-0	0		lilianerika
AC-combined_sample_leipzig_swe_news-557-59:61-AC..0-0	0		lilianerika
VM-combined_sample_kubhist2a-111-21:23-VM..0-0	-		lilianerika
VM-combined_sample_kubhist2a-1860-69:71-VM..0-0	-		lilianerika
aga-combined_sample_kubhist2a-243-85:89-aga..0-0	0		lilianerika
aga-combined_sample_kubhist2a-267-72:76-aga..0-0	0		lilianerika
aga-combined_sample_kubhist2a-34-147:151-aga..0-0	0		lilianerika
agna-combined_sample_kubhist2a-181-28:33-agna..0-0	0		lilianerika
agna-combined_sample_kubhist2a-230-53:57-agna..0-0	0		lilianerika
agna-combined_sample_kubhist2a-62-95:99-agna..0-0	0		lilianerika
akrobatik-combined_sample_leipzig_swe_news-77-17:26-akrobatik..0-0	1		lilianerika
akrobatik-combined_sample_leipzig_swe_news-77-17:26-akrobatik..0-1	1		lilianerika
akter-combined_sample_kubhist2a-360-72:77-akter..0-0	0		lilianerika
akter-combined_sample_kubhist2a-360-72:77-akter..0-1	0		lilianerika
akter-combined_sample_kubhist2a-366-72:77-akter..0-0	0		lilianerika
akter-combined_sample_kubhist2a-366-72:77-akter..0-1	0		lilianerika
akter-combined_sample_kubhist2a-382-72:77-akter..0-0	0		lilianerika
akter-combined_sample_kubhist2a-382-72:77-akter..0-1	0		lilianerika
alba-combined_sample_leipzig_swe_news-303-53:57-alba..0-0	0		lilianerika
alla-combined_sample_kubhist2a-1023-43:48-alla..0-0	-		lilianerika
alla-combined_sample_kubhist2a-1317-54:59-alla..0-0	-		lilianerika
alla-combined_sample_kubhist2a-152-68:75-alla..0-0	0		lilianerika
amiral-combined_sample_kubhist2a-24-141:149-amiral..0-0	0		lilianerika
amiral-combined_sample_kubhist2a-63-47:55-amiral..0-0	0		lilianerika
amiral-combined_sample_kubhist2a-75-31:37-amiral..0-0	0		lilianerika
an-combined_sample_leipzig_swe_news-196-52:54-an..0-0	0		lilianerika
an-combined_sample_leipzig_swe_news-196-52:54-an..0-1	0		lilianerika
an-combined_sample_leipzig_swe_news-286-143:145-an..0-0	0		lilianerika
an-combined_sample_leipzig_swe_news-286-143:145-an..0-1	0		lilianerika
an-combined_sample_leipzig_swe_news-336-118:120-an..0-0	0		lilianerika
an-combined_sample_leipzig_swe_news-336-118:120-an..0-1	0		lilianerika
and-combined_sample_leipzig_swe_news-2-134:137-and..0-0	0		lilianerika
and-combined_sample_leipzig_swe_news-20-31:34-and..0-0	0		lilianerika
anmoda-combined_sample_kubhist2a-590-25:32-anmoda..0-0	1		lilianerika
anpassa-combined_sample_leipzig_swe_news-695-37:44-anpassa..0-0	1		lilianerika
ansa-combined_sample_kubhist2a-1477-15:21-ansa..0-0	1		lilianerika
anseende-combined_sample_kubhist2a-1716-84:92-anseende..0-0	1		lilianerika
anseende-combined_sample_kubhist2a-1716-84:92-anseende..0-1	-		lilianerika
avslut-combined_sample_leipzig_swe_news-454-106:112-avslut..0-0	0		lilianerika
avtryck-combined_sample_leipzig_swe_news-360-161:168-avtryck..0-0	0		lilianerika
avtryck-combined_sample_leipzig_swe_news-360-161:168-avtryck..0-1	0		lilianerika
ax-combined_sample_kubhist2a-1526-95:97-ax..0-0	0		lilianerika
axla-combined_sample_leipzig_swe_news-363-56:60-axla..0-1	1		lilianerika
axla-combined_sample_leipzig_swe_news-561-3:8-axla..0-0	1		lilianerika
